Tamano;Distribucion;OE_Binaria1;OE_Binaria2;OE_Interpolacion;Tiempo_Binaria(s);Tiempo_Interpolacion(s)
4000;gaussiana;86;122;397;0.00000020;0.00000020;0.00000030
4000;gaussiana;86;112;187;0.00000010;0.00000010;0.00000060
4000;gaussiana;86;122;187;0.00000020;0.00000010;0.00000020
4000;gaussiana;94;122;43;0.00000020;0.00000020;0.00000010
4000;gaussiana;97;121;7;0.00000010;0.00000020;0.00000010
5000;gaussiana;94;122;19;0.00000010;0.00000010;0.00000010
5000;gaussiana;78;102;376;0.00000010;0.00000020;0.00000030
5000;gaussiana;94;122;187;0.00000010;0.00000020;0.00000020
5000;gaussiana;70;132;292;0.00000020;0.00000020;0.00000030
5000;gaussiana;102;132;43;0.00000110;0.00000020;0.00000010
5000;gaussiana;105;131;7;0.00000010;0.00000020;0.00000000
10000;gaussiana;102;132;19;0.00000020;0.00000010;0.00000010
10000;gaussiana;94;122;505;0.00000010;0.00000020;0.00000040
10000;gaussiana;102;132;43;0.00000020;0.00000010;0.00000000
10000;gaussiana;86;142;337;0.00000020;0.00000020;0.00000020
10000;gaussiana;110;142;43;0.00000010;0.00000020;0.00000010
10000;gaussiana;113;141;7;0.00000010;0.00000020;0.00000010
20000;gaussiana;110;142;19;0.00000040;0.00000010;0.00000010
20000;gaussiana;102;142;505;0.00000020;0.00000010;0.00000040
20000;gaussiana;110;142;43;0.00000080;0.00000020;0.00000010
20000;gaussiana;102;142;190;0.00000020;0.00000010;0.00000020
20000;gaussiana;118;152;67;0.00000030;0.00000010;0.00000010
20000;gaussiana;121;151;7;0.00000010;0.00000020;0.00000000
30000;gaussiana;110;142;19;0.00000030;0.00000030;0.00000010
30000;gaussiana;102;132;397;0.00000010;0.00000020;0.00000030
30000;gaussiana;102;142;106;0.00000020;0.00000010;0.00000010
30000;gaussiana;110;142;43;0.00000020;0.00000020;0.00000000
30000;gaussiana;118;152;91;0.00000020;0.00000010;0.00000010
30000;gaussiana;121;151;7;0.00000020;0.00000020;0.00000010
40000;gaussiana;118;152;19;0.00000030;0.00000030;0.00000010
40000;gaussiana;118;152;571;0.00000020;0.00000020;0.00000060
40000;gaussiana;102;162;109;0.00000020;0.00000030;0.00000020
40000;gaussiana;118;152;43;0.00000020;0.00000010;0.00000010
40000;gaussiana;126;162;112;0.00000010;0.00000020;0.00000020
40000;gaussiana;129;161;7;0.00000010;0.00000020;0.00000010
50000;gaussiana;118;152;19;0.00000020;0.00000020;0.00000010
50000;gaussiana;118;152;571;0.00000040;0.00000020;0.00000060
50000;gaussiana;110;142;88;0.00000020;0.00000020;0.00000010
50000;gaussiana;118;152;43;0.00000030;0.00000010;0.00000010
50000;gaussiana;126;162;112;0.00000030;0.00000020;0.00000020
50000;gaussiana;129;161;7;0.00000020;0.00000020;0.00000000
